epoch,train_loss,train_acc,test_loss,test_acc
0,1.917,30.8,1.559,42.06
1,1.486,45.418,1.354,51.35
2,1.251,54.706,1.406,52.62
3,1.07,61.782,0.955,66.24
4,0.957,66.238,1.093,62.04
5,0.86,69.818,0.958,68.22
6,0.775,72.926,0.998,68.83
7,0.711,75.3,0.858,70.73
8,0.679,76.228,0.767,73.5
9,0.651,77.37,0.681,76.97
10,0.617,78.78,0.685,76.61
11,0.602,79.256,0.821,73.3
12,0.59,79.668,0.659,77.71
13,0.568,80.41,0.686,77.26
14,0.552,80.968,0.771,74.81
15,0.543,81.254,0.571,81.16
16,0.54,81.322,0.56,80.85
17,0.525,81.906,0.528,82.24
18,0.518,82.374,0.529,82.23
19,0.511,82.42,0.591,80.07
20,0.499,82.596,0.596,80.17
21,0.492,82.964,0.623,80.03
22,0.486,83.354,0.56,81.88
23,0.477,83.682,0.564,80.92
24,0.47,83.866,0.692,78.37
25,0.463,84.092,0.567,81.59
26,0.47,83.828,0.504,83.05
27,0.46,84.27,0.648,78.22
28,0.453,84.456,0.558,81.78
29,0.448,84.646,0.477,83.85
30,0.451,84.71,0.481,83.87
31,0.444,84.778,0.462,84.3
32,0.441,84.878,0.599,80.59
33,0.435,85.01,0.525,83.13
34,0.435,85.198,0.635,79.61
35,0.426,85.54,0.415,86.05
36,0.424,85.404,0.506,82.99
37,0.42,85.612,0.469,84.22
38,0.422,85.64,0.509,83.49
39,0.416,85.596,0.468,84.58
40,0.413,85.828,0.378,87.21
41,0.418,85.618,0.488,84.02
42,0.412,85.844,0.404,86.28
43,0.405,86.168,0.453,85.4
44,0.408,85.89,0.545,81.61
45,0.401,86.22,0.561,81.87
46,0.399,86.342,0.566,81.55
47,0.401,86.3,0.621,80.56
48,0.391,86.686,0.551,82.02
49,0.394,86.354,0.482,83.82
50,0.395,86.52,0.429,85.93
51,0.385,86.716,0.468,84.65
52,0.386,86.8,0.439,84.92
53,0.384,86.634,0.503,83.72
54,0.384,86.958,0.444,84.67
55,0.385,86.784,0.472,83.8
56,0.379,87.0,0.426,86.2
57,0.377,87.152,0.378,86.54
58,0.373,87.228,0.416,86.48
59,0.375,87.192,0.506,83.01
60,0.372,87.154,0.509,83.75
61,0.364,87.606,0.382,86.7
62,0.366,87.452,0.455,84.77
63,0.363,87.576,0.471,84.37
64,0.359,87.662,0.479,84.22
65,0.361,87.736,0.482,84.63
66,0.359,87.758,0.451,84.76
67,0.349,87.92,0.42,85.81
68,0.351,87.812,0.466,84.1
69,0.347,88.126,0.352,88.37
70,0.346,88.16,0.399,87.02
71,0.347,88.192,0.376,87.55
72,0.338,88.422,0.36,87.75
73,0.336,88.432,0.44,85.68
74,0.339,88.254,0.384,87.27
75,0.333,88.54,0.384,86.56
76,0.336,88.456,0.402,86.78
77,0.327,88.92,0.422,86.2
78,0.327,88.776,0.387,87.32
79,0.328,88.62,0.454,85.03
80,0.328,88.694,0.562,82.86
81,0.322,88.866,0.398,86.62
82,0.32,88.876,0.349,88.15
83,0.316,89.172,0.41,86.63
84,0.308,89.446,0.346,88.65
85,0.312,89.196,0.35,88.43
86,0.303,89.674,0.393,87.31
87,0.308,89.468,0.44,85.72
88,0.304,89.498,0.353,87.75
89,0.305,89.524,0.373,87.49
90,0.296,89.724,0.383,87.4
91,0.297,89.782,0.373,87.68
92,0.291,89.846,0.32,89.23
93,0.29,89.99,0.335,89.08
94,0.282,90.384,0.322,89.08
95,0.287,90.156,0.365,88.29
96,0.276,90.42,0.33,89.02
97,0.279,90.494,0.333,89.36
98,0.276,90.32,0.348,88.76
99,0.273,90.68,0.315,89.61
100,0.273,90.698,0.412,86.98
101,0.265,90.908,0.332,88.98
102,0.262,91.054,0.293,89.98
103,0.266,90.838,0.341,88.85
104,0.254,91.226,0.307,89.88
105,0.253,91.31,0.295,90.23
106,0.254,91.208,0.377,87.76
107,0.251,91.336,0.301,90.03
108,0.247,91.546,0.268,91.25
109,0.243,91.552,0.324,89.32
110,0.244,91.692,0.301,90.24
111,0.234,92.03,0.332,89.29
112,0.234,91.988,0.34,89.01
113,0.23,92.118,0.303,89.93
114,0.225,92.258,0.308,89.88
115,0.224,92.224,0.324,89.62
116,0.212,92.776,0.279,91.0
117,0.216,92.656,0.289,90.5
118,0.217,92.566,0.296,90.57
119,0.212,92.65,0.298,90.4
120,0.202,93.034,0.306,90.17
121,0.202,93.004,0.267,91.21
122,0.204,93.006,0.287,90.77
123,0.201,92.93,0.294,90.97
124,0.193,93.41,0.272,91.3
125,0.191,93.31,0.338,89.28
126,0.187,93.662,0.299,90.34
127,0.186,93.608,0.291,90.76
128,0.179,93.92,0.291,90.29
129,0.17,94.16,0.275,91.22
130,0.173,94.014,0.248,91.84
131,0.166,94.332,0.253,91.75
132,0.165,94.25,0.254,91.98
133,0.163,94.416,0.276,91.32
134,0.158,94.562,0.276,91.36
135,0.156,94.66,0.26,91.99
136,0.151,94.832,0.229,92.62
137,0.147,95.036,0.245,92.27
138,0.148,94.88,0.318,90.43
139,0.138,95.208,0.246,92.24
140,0.136,95.288,0.247,92.31
141,0.138,95.268,0.278,91.42
142,0.127,95.666,0.241,92.52
143,0.126,95.658,0.256,92.3
144,0.119,95.934,0.25,92.55
145,0.116,96.052,0.231,92.86
146,0.114,96.058,0.229,93.11
147,0.109,96.344,0.228,92.55
148,0.11,96.176,0.234,92.66
149,0.109,96.236,0.214,93.25
150,0.099,96.758,0.245,92.58
151,0.094,96.768,0.238,93.07
152,0.095,96.806,0.216,93.32
153,0.09,96.944,0.204,93.68
154,0.08,97.222,0.222,93.45
155,0.083,97.298,0.227,92.92
156,0.081,97.244,0.224,93.27
157,0.075,97.4,0.208,93.79
158,0.071,97.698,0.197,94.07
159,0.07,97.636,0.211,93.88
160,0.065,97.792,0.214,93.5
161,0.062,98.04,0.207,93.79
162,0.06,98.026,0.197,94.25
163,0.056,98.204,0.201,93.92
164,0.052,98.256,0.194,94.46
165,0.053,98.242,0.185,94.58
166,0.049,98.418,0.181,94.77
167,0.044,98.528,0.18,94.84
168,0.045,98.598,0.188,94.69
169,0.041,98.714,0.173,95.06
170,0.037,98.872,0.177,94.94
171,0.037,98.844,0.168,95.19
172,0.031,99.01,0.163,95.23
173,0.031,99.01,0.169,95.15
174,0.029,99.088,0.164,95.32
175,0.028,99.146,0.163,95.28
176,0.025,99.226,0.162,95.33
177,0.024,99.296,0.16,95.49
178,0.022,99.304,0.158,95.54
179,0.021,99.372,0.16,95.43
180,0.021,99.344,0.158,95.44
181,0.021,99.36,0.156,95.64
182,0.018,99.474,0.156,95.56
183,0.018,99.486,0.154,95.47
184,0.016,99.498,0.153,95.62
185,0.016,99.54,0.157,95.69
186,0.015,99.552,0.154,95.62
187,0.014,99.608,0.151,95.82
188,0.015,99.56,0.149,95.83
189,0.013,99.626,0.148,95.8
190,0.014,99.576,0.15,95.65
191,0.011,99.666,0.149,95.76
192,0.013,99.628,0.15,95.72
193,0.013,99.65,0.148,95.75
194,0.014,99.624,0.149,95.78
195,0.012,99.622,0.148,95.81
196,0.012,99.666,0.147,95.87
197,0.012,99.662,0.147,95.76
198,0.012,99.65,0.147,95.84
199,0.012,99.684,0.148,95.8
